Ticket #,Symbol,Volume,Date,Sold,Bought,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Condition,Created By
 , , ,2/11/13 4:15 AM,0.85127, ,0.94,0.00,0.00,0.00,0.00,0.94,LE,3000047258
53661237,USD/JPY,"1,000",2/11/13 4:32 AM, ,93.175, , , , , , ,Mkt,3000047258
 , , ,2/11/13 4:50 AM,93.195, ,0.21,0.00,0.00,0.00,0.00,0.21,Mkt,3000047258
53661240,USD/JPY,"1,000",2/11/13 4:33 AM, ,93.160, , , , , , ,Mkt,3000047258
 , , ,2/11/13 4:50 AM,93.195, ,0.38,0.00,0.00,0.00,0.00,0.38,Mkt,3000047258
53661243,USD/JPY,"1,000",2/11/13 4:33 AM, ,93.140, , , , , , ,Mkt,3000047258
 , , ,2/11/13 4:50 AM,93.195, ,0.59,0.00,0.00,0.00,0.00,0.59,Mkt,3000047258
53662029,EUR/USD,"1,000",2/11/13 5:00 AM, ,1.34001, , , , , , ,Mkt,3000047258
 , , ,2/11/13 5:32 AM,1.33853, ,-1.48,0.00,0.00,0.00,0.00,-1.48,SE,3000047258
53663563,CAD/JPY,"1,000",2/11/13 6:03 AM, ,92.737, , , , , , ,Mkt,3000047258
 , , ,2/11/13 6:10 AM,92.791, ,0.58,0.00,0.00,0.00,0.00,0.58,LE,3000047258
53697340,USD/JPY,"1,000",2/12/13 4:08 AM, ,94.151, , , , , , ,Mkt,3000047258
 , , ,2/12/13 4:34 AM,94.003, ,-1.57,0.00,0.00,0.00,0.00,-1.57,SE,3000047258
53698118,EUR/GBP,"1,000",2/12/13 4:37 AM, ,0.85901, , , , , , ,Mkt,3000047258
 , , ,2/12/13 5:50 AM,0.86159, ,4.02,0.00,0.00,0.00,0.00,4.02,LE,3000047258
53701109,EUR/USD,"1,000",2/12/13 6:22 AM, ,1.34544, , , , , , ,Mkt,3000047258
 , , ,2/12/13 6:47 AM,1.34417, ,-1.27,0.00,0.00,0.00,0.00,-1.27,SE,3000047258
53734623,GBP/USD,"1,000",2/13/13 3:31 AM,1.56500, , , , , , , ,Mkt,3000047258
 , , ,2/13/13 3:58 AM, ,1.56435,0.65,0.00,0.00,0.00,0.00,0.65,Mkt,3000047258
53736370,EUR/USD,"1,000",2/13/13 5:13 AM, ,1.34799, , , , , , ,Mkt,3000047258
 , , ,2/13/13 7:26 AM,1.34913, ,1.14,0.00,0.00,0.00,0.00,1.14,Mkt,3000047258
53765837,GBP/USD,"1,000",2/14/13 3:15 AM,1.55099, , , , , , , ,Mkt,3000047258
 , , ,2/14/13 3:19 AM, ,1.55037,0.62,0.00,0.00,0.00,0.00,0.62,Mkt,3000047258
53765873,GBP/USD,"1,000",2/14/13 3:18 AM,1.55015, , , , , , , ,Mkt,3000047258
 , , ,2/14/13 3:21 AM, ,1.54963,0.52,0.00,0.00,0.00,0.00,0.52,Mkt,3000047258
